seed,variant_key,variant_name,target,test_ws_rmse,test_ws_mae,test_wd_mae,test_extreme_ws_rmse,test_r2
43,wo_fft,w/o FFT Branch,sd1042,1.051936833925836,0.7100408991952317,10.292984806004595,1.0746563877497817,0.8922011383546986
43,wo_fft,w/o FFT Branch,sd1091,0.7747403883399602,0.5132496124946031,7.314009574702388,1.892815888924389,0.8391744172423542
43,wo_persistence,w/o Persistence Prior,sd1042,1.2575743853063583,0.9264713335870572,13.59187300978144,1.7311980183278155,0.8459356287442533
43,wo_persistence,w/o Persistence Prior,sd1091,0.7372109262863397,0.5080283344191993,7.517606786433483,1.9194198595399516,0.8543782430814595
43,wo_boat_embedding,w/o Vessel Embedding,sd1042,1.0450969552679426,0.7090327646564571,10.08834892480281,1.1216285447073917,0.8935984351902759
43,wo_boat_embedding,w/o Vessel Embedding,sd1091,0.7191680254343616,0.4868484543473929,7.001779313055461,1.951339415793805,0.8614190672076242
43,wo_gated_fusion,w/o Gated Fusion,sd1042,1.066517092051783,0.7341974062783926,10.067036121475564,1.2354676409101295,0.8891921598465662
43,wo_gated_fusion,w/o Gated Fusion,sd1091,0.7292760269274905,0.492847627441355,7.234564049398606,1.9568255272590385,0.8574961444040782
43,mlp_decoder,MLP Decoder,sd1042,1.036468744503781,0.7019748040268303,10.004665563588436,1.1148531242952908,0.89534806318187
43,mlp_decoder,MLP Decoder,sd1091,0.7198497201851821,0.4853388143065791,6.826447113515013,1.9614022621545024,0.8611562227406604
44,wo_fft,w/o FFT Branch,sd1042,1.0480768032229384,0.7081829000887163,10.231526488866884,1.0792715252668303,0.8929908121455901
44,wo_fft,w/o FFT Branch,sd1091,0.772004648807408,0.5169928484581727,7.4225566317837774,1.952155914640056,0.8403082166278525
44,wo_persistence,w/o Persistence Prior,sd1042,1.1794262278802208,0.8384313222986529,11.356605903261784,1.5548638243581725,0.8644884188466452
44,wo_persistence,w/o Persistence Prior,sd1091,0.7254410425715782,0.5105653931897225,7.604336851661904,2.0140657793019496,0.8589909505381242
44,wo_boat_embedding,w/o Vessel Embedding,sd1042,1.0923495269240775,0.7549788841270596,10.127389028770663,1.2989899331720636,0.8837593312384043
